,Residential 12/1/2020,Residential 12/1/2019,Commercial 12/1/2020,Commercial 12/1/2019,Industrial 12/1/2020,Industrial 12/1/2019,Transportation 12/1/2020,Transportation 12/1/2019,All Sectors 12/1/2020,All Sectors12/1/2019
New England,20.37,20.86,15.71,16.11,12.55,13.06,8.99,8.62,17.35,17.74
Connecticut,20.39,20.3,16.38,16.4,12.8,13.29,13.8,11.76,18.06,18.14
Maine,16.51,17.95,12.41,13.03,9.01,9.3,--,--,13.4,14.28
Massachusetts,21.54,22.39,15.89,16.61,13.73,14.76,6.66,6.42,17.92,18.56
New Hampshire,18.74,19.71,15.34,15.56,13.51,13.49,--,--,16.66,17.15
Rhode Island,22.59,21.82,16.15,15.65,16.24,15.34,20.75,18.02,18.93,18.19
Vermont,19.04,19.23,16.44,16.15,11.14,11.24,--,--,16.26,16.19
Middle Atlantic,15.55,15.47,12,11.72,6.32,6.44,11.12,11.08,12.31,12.09
New Jersey,15.99,15.22,11.96,11.43,9.64,9.4,9.46,8.49,13.34,12.66
New York,18.23,17.33,14.01,13.37,5.61,5.44,11.72,11.88,14.58,13.83
Pennsylvania,13.15,13.98,8.36,8.69,6.08,6.35,8.97,7.12,9.69,10.07
East North Central,13.27,13.02,10.11,9.89,6.61,6.61,6.95,6.88,10.24,9.92
Illinois,12.32,12.79,8.67,8.82,6.47,6.24,6.79,6.76,9.37,9.34
Indiana,12.69,12.1,11.11,10.79,6.63,6.89,9.04,10.31,9.91,9.6
Michigan,16.47,15.69,12.19,11.42,7.58,6.95,11.52,10.67,12.67,11.67
Ohio,11.8,11.8,9.14,9.11,5.8,6.26,6.96,6.02,9.21,9.22
Wisconsin,14.52,13.72,10.84,10.38,7.35,7.1,14.42,13.33,11.08,10.5
West North Central,10.88,10.82,8.88,8.91,6.47,6.64,7.91,7.6,8.96,8.96
Iowa,11.31,11.13,8.99,8.89,5.46,5.61,--,--,8.16,8.11
Kansas,12.22,12.04,9.85,9.82,7.01,7.1,--,--,9.92,9.79
