Company Name,Country,City,State,Number of Lines
Guardian Glass,US,Kingsburg,CA,1
Vitro Architectural Glass,US,Fresno,CA,1
Fuyao Glass Industry Group Co. Ltd.,US,Mt. Zion,IL,2
Nippon Sheet Glass,US,Ottawa,IL,1
Guardian Glass,US,DeWitt,IA,1
AGC (Asahi Glass Co.),US,Spring Hill,KS,1
AGC (Asahi Glass Co.),US,Richmond,KY,1
Guardian Glass,US,Carleton,MI,2
Guardian Glass,US,Geneva,NY,1
Cardinal Glass Industries,US,Mooresville,NC,1
Nippon Sheet Glass,US,Laurinburg,NC,2
Nippon Sheet Glass,US,Rossford,OH,2
Cardinal Glass Industries,US,Durant,OK,1
Vitro Architectural Glass,US,Carlisle,PA,2
Vitro Architectural Glass,US,Meadville,PA,2
Guardian Glass,US,Richburg,SC,1
AGC (Asahi Glass Co.),US,Greenland,TN,2
Carlex Glass Company,US,Nashville,TN,1
Guardian Glass,US,Corsicana,TX,1
Vitro Architectural Glass,US,Wichita Falls,TX,2
Cardinal Glass Industries,US,Winlock,WA,1
Cardinal Glass Industries,US,Menomonie,WI,1
Cardinal Glass Industries,US,Portage,WI,1
