Company Name,,Operating as,Phone,Website,Region,Country,City,State/Province,Street address,Plant details,Number of Lines,Joint Venture Partner,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,32 2 4093-000,http://www.agc-glass.eu/,Europe,Belgium,Moustier,,"167, rue de la Glacerie",,3,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,,http://www.agc-glass.eu/,Europe,Belgium,Mol,,Colburnlei 1 2400,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,55 12 3127-7100,http://www.agcbrasil.com/AGC-Brazil/English/Homepage/Home/page.aspx/1957,South America,Brazil,Guaratinguetea,Sao Paulo,"Estrada Municipal Fazenda Sao Pedro, 500 Jardim Vista Alegre",,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,AGC Flat Glass (Dalian) Co. Ltd.,86 411 8761-4190,http://www.agc-flatglass.cn/,Asia,China,Dalian,Liaoning,,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,86 512 6285-2501,http://www.agc-group.com/index.html,Asia,China,Suzhou,Jiangsu,Suzhou Industrial Park,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,420 4 1750-1111,http://www.agc-group.com/index.html,Europe,Czech Republic,Teplice,,"Sklarska 450, 415 03",,3,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,33 3 2769-4000,http://www.agc-group.com/index.html,Europe,France,Boussois,,,,2,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,AGC Interpane Glass France S.A.S,33 3 8700-2690,http://www.interpane.com/,,France,Seingbouse,,"Megazone de Est Parc d'activites de Farebersviller, 57455",,1,Interpane,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,AGC-Interpane,49 3 9205-4500,http://www.f-glass.de/cms/,Europe,Germany,Osterweddingen,,,,1,Interpane,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,Asahi India Glass,91 22 6656-8700,http://www.aisglass.com/,Asia,India,Taloja Navi (Mumbai),Maharashtra,"305, Platinum Techno Park, Bhagwan Mahaveer Rd, Sector 30, Vashi",,1,Labroo family and Maruti Suzuki India Limited,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,Asahi India Glass,none,http://www.aisglass.com/,Asia,India,Roorkee Haridwar (New Delhi),Uttarakhand,"Plot A, B & B1, AIS Industrial Estate, Village Latherdeva Hoon, Mangular PO: Tehsil-Roorkee, District 247 667, Manglour-Jhabrera Rd, Jhabrera",,1,Labroo family and Maruti Suzuki India Limited,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,PT Asahimas Flat Glass,62 2 1690-4041,http://www.amfg.co.id/,Asia,Indonesia,Jakarta,,"Jalan, Ancol IX/5, Ancol Barat",,2,PT Rodamas Co. Ltd.,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,PT Asahimas Flat Glass,62 3 1788-2383,http://www.amfg.co.id/,Asia,Indonesia,Surabaya,Jawa Timur,"JL. Desa Tanjung Sari No.61257, Taman, Sidoarjo",,2,PT Rodamas Co. Ltd.,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,39 0171-3401,http://www.agc-group.com/index.html,Europe,Italy,Cuneo,,Via Genova 31 12100,"Cold repair has ended, and the line is operational. https://glassmagazine.com/news-item/commercial/agc-flat-glass-italia-starts-float-line-cuneo-plant-1717232",1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,81 03 3218-5603,http://www.asahi-glass.com/english/index.html,Asia,Japan,Kashima,Ibaraki,,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,81 03 3218-5603,http://www.asahi-glass.com/english/index.html,Asia,Japan,Taketoyo,Aichi,,,2,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,31 3 4467-9911,http://www.agc-group.com/index.html,Europe,Netherlands,Tiel,,,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,8 83 1220-0207,http://www.agc-glass.eu/,Europe,Russia,Bor,Nizhny Novgorod Oblast,,,2,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,791 8555-3437,http://www.agc-glass.eu/,Europe,Russia,Klin,Moscow Oblast,,,2,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,34 9 3467-0760,http://www.agc-group.com/index.html,Europe,Spain,Sagunto,Valencia,,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,66 038 2130-6372,https://www.agc-flatglass.co.th/home.php,Asia,Thailand,Nong Mai Daeng,Chon Buri,,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,66 0 2815-5000,https://www.agc-flatglass.co.th/home.php,Asia,Thailand,Phra Samut Chedi,Samut Prakan,"200 Moo1 Suksawas Rd., Pak Khlong Bang Pla Kod",,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,859-625-9002,http://us.agc.com/,North America,US,Richmond,KY,201 Duncannon Lane,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,913-592-6100,http://us.agc.com/,North America,US,Spring Hill,KS,20400 N. Webster St.,,1,,,,,,,,,,,,,,
AGC (Asahi Glass Co.),,,423-357-2400,http://us.agc.com/,North America,US,Greenland,TN,AGC Road Hwy 11,AGC has started installing its MSVD coater. https://glassmagazine.com/news-item/commercial/agc-glass-install-new-coater-north-america-1716652,2,,,,,,,,,,,,,,
Aoge,,Qinhuangdao Aoge Glass Co.,86 33 5850-1222,http://aoge-glass.company.weiku.com/,Asia,China,Qinhuangdao,Hebei,,,2,,,,,,,,,,,,,,
Arabian United Float Glass Company (UFG),,,966 1 4325-5444,http://aufgc.com/home.aspx,Middle East,Saudi Arabia,Yanbu,,,,0,,,,,,,,,,,,,,
Ardakan Float Glass Company,,,98 352 7243-2014,http://www.ardakanglass.com,Middle East,Iran,Ardakan,Yazd,,,1,,,,,,,,,,,,,,
AVIC Sanxin Glass,,,86 755 2606-3626,http://avic-glass.com/profile/hainan-production-base.html/137931/0,Asia,China,Haikou,Hainan,,,4,,,,,,,,,,,,,,
Azar Glass Industry Company,,Sahand Industrial Group,98 41 3244-7023,http://www.sig.co.ir/index.php/en/sahand-industrial-group/sub-companies,Middle East,Iran,Tabriz,,,,1,,,,,,,,,,,,,,
Bangkok Glass Public Co.,,BGF Kabinburi Glass,+(66) 02834-7000,http://www.bgiglass.com/?r=Site/Index,Asia,Thailand,Bangkok,,"47/1 Moo 2, Rangsit-Nakornnayok Rd., Km.7 Buengyeetho,",,1,,,,,,,,,,,,,,
Cardinal Glass Industries,,,715-232-6500,http://www.cardinalcorp.com/,North America,US,Menomonie,WI,2200 Stokke Parkway,,1,,,,,,,,,,,,,,
